name;;value;;;
United States;;13,513;;;
Brazil;;4,093;;;
Mexico;;1,714;;;
Canada;;1,467;;;
Russia;;1,218;;;
Argentina;;916;;;
Bolivia;;855;;;
Colombia;;836;;;
Paraguay;;799;;;
Indonesia;;673;;;
Papua New Guinea;;561;;;
Germany;;539;;;
China;;507;;;
Chile;;481;;;
France;;464;;;
United Kingdom;;460;;;
Venezuela;;444;;;
Ecuador;;432;;;
Australia;;418;;;
South Africa;;407;;;
India;;346;;;
Iran;;319;;;
Guatemala;;291;;;
Philippines;;247;;;
Sweden;;231;;;
Ukraine;;215;;;
Saudi Arabia;;214;;;
Congo, Democratic Republic of the;;198;;;
Kenya;;197;;;
Zimbabwe;;196;;;
Peru;;191;;;
Japan;;175;;;
Tanzania;;166;;;
Costa Rica;;161;;;
Pakistan;;151;;;
Algeria;;149;;;
Finland;;148;;;
Nicaragua;;147;;;
Libya;;146;;;
Spain;;135;;;
Cuba;;133;;;
Uruguay;;133;;;
Oman;;132;;;
Italy;;129;;;
Czechia;;128;;;
Poland;;126;;;
New Zealand;;123;;;
Guyana;;117;;;
Panama;;117;;;
Malaysia;;114;;;
Namibia;;112;;;
Korea, South;;111;;;
Honduras;;103;;;
Angola;;102;;;
Iraq;;102;;;
Thailand;;101;;;
Turkey (Turkiye);;98;;;
Mozambique;;98;;;
Kazakhstan;;96;;;
Iceland;;96;;;
Norway;;95;;;
Syria;;90;;;
South Sudan;;89;;;
Zambia;;88;;;
Egypt;;83;;;
Madagascar;;83;;;
Korea, North;;82;;;
Denmark;;80;;;
Greece;;77;;;
Botswana;;74;;;
Croatia;;69;;;
Bulgaria;;68;;;
El Salvador;;68;;;
Sudan;;67;;;
Belarus;;65;;;
Portugal;;64;;;
Burma;;64;;;
Switzerland;;63;;;
Morocco;;62;;;
Lithuania;;61;;;
Chad;;59;;;
Yemen;;57;;;
Ethiopia;;57;;;
Suriname;;55;;;
French Polynesia;;54;;;
Nigeria;;54;;;
Bahamas, The;;54;;;
Uzbekistan;;53;;;
Somalia;;52;;;
Austria;;50;;;
Belize;;47;;;
Uganda;;47;;;
Nepal;;47;;;
Afghanistan;;46;;;
Romania;;45;;;
Vietnam;;45;;;
Gabon;;44;;;
Mongolia;;44;;;
United Arab Emirates;;43;;;
Latvia;;42;;;
Israel;;42;;;
Hungary;;41;;;
Belgium;;41;;;
Laos;;41;;;
Ireland;;40;;;
Central African Republic;;39;;;
Taiwan;;37;;;
Solomon Islands;;36;;;
Dominican Republic;;36;;;
Slovakia;;35;;;
Cameroon;;33;;;
Malawi;;32;;;
Vanuatu;;31;;;
Niger;;30;;;
Mauritania;;30;;;
Liberia;;29;;;
Puerto Rico;;29;;;
Netherlands;;29;;;
