name;;value;;;
Cook Islands;;12.97;;;
Latvia;;12.9;;;
Czechia;;12.73;;;
Lithuania;;11.93;;;
Austria;;11.9;;;
Antigua and Barbuda;;11.88;;;
Estonia;;11.65;;;
France;;11.44;;;
Bulgaria;;11.18;;;
Slovenia;;11.05;;;
Luxembourg;;11;;;
Andorra;;10.99;;;
Poland;;10.96;;;
Romania;;10.96;;;
Ireland;;10.91;;;
Hungary;;10.79;;;
Spain;;10.72;;;
Belarus;;10.57;;;
Germany;;10.56;;;
Portugal;;10.37;;;
Slovakia;;10.3;;;
Barbados;;9.94;;;
Montenegro;;9.91;;;
United Kingdom;;9.8;;;
Croatia;;9.64;;;
Cyprus;;9.59;;;
Australia;;9.51;;;
Seychelles;;9.48;;;
Bahamas, The;;9.48;;;
Switzerland;;9.41;;;
Saint Lucia;;9.3;;;
New Zealand;;9.17;;;
Denmark;;9.16;;;
Belgium;;9.15;;;
United States;;8.93;;;
Saint Kitts and Nevis;;8.84;;;
Grenada;;8.62;;;
Niue;;8.5;;;
Japan;;8.36;;;
Netherlands;;8.23;;;
Finland;;8.23;;;
Laos;;8.15;;;
Malta;;8.07;;;
Canada;;8;;;
Argentina;;7.95;;;
Tanzania;;7.81;;;
Chile;;7.8;;;
Korea, South;;7.74;;;
Iceland;;7.72;;;
Eswatini;;7.68;;;
Italy;;7.65;;;
Saint Vincent and the Grenadines;;7.48;;;
Georgia;;7.45;;;
Moldova;;7.45;;;
Serbia;;7.45;;;
Russia;;7.29;;;
Burkina Faso;;7.28;;;
South Africa;;7.21;;;
Sweden;;7.1;;;
Thailand;;6.86;;;
Uganda;;6.82;;;
Suriname;;6.6;;;
Panama;;6.54;;;
Gabon;;6.47;;;
Rwanda;;6.35;;;
Greece;;6.33;;;
Dominica;;6.32;;;
Brazil;;6.12;;;
Equatorial Guinea;;6.11;;;
Norway;;6.05;;;
Botswana;;5.98;;;
Belize;;5.93;;;
Angola;;5.84;;;
Trinidad and Tobago;;5.81;;;
Congo, Republic of the;;5.74;;;
Peru;;5.74;;;
Ukraine;;5.69;;;
Dominican Republic;;5.56;;;
Paraguay;;5.47;;;
Mongolia;;5.46;;;
Bosnia and Herzegovina;;5.46;;;
Uruguay;;5.42;;;
Guyana;;5.11;;;
Philippines;;4.85;;;
Cuba;;4.7;;;
Cabo Verde;;4.7;;;
Cambodia;;4.56;;;
Nigeria;;4.49;;;
China;;4.48;;;
Albania;;4.4;;;
Mexico;;4.25;;;
Sao Tome and Principe;;4.23;;;
Colombia;;4.09;;;
Cameroon;;4.09;;;
Burundi;;4.07;;;
Kyrgyzstan;;4.02;;;
North Macedonia;;3.9;;;
Zambia;;3.82;;;
Armenia;;3.77;;;
Kazakhstan;;3.73;;;
Nicaragua;;3.69;;;
Korea, North;;3.61;;;
Lesotho;;3.56;;;
Jamaica;;3.46;;;
Vietnam;;3.41;;;
Mauritius;;3.39;;;
Sierra Leone;;3.22;;;
Guinea-Bissau;;3.21;;;
Liberia;;3.12;;;
Zimbabwe;;3.11;;;
India;;3.09;;;
Israel;;3.07;;;
Costa Rica;;3.07;;;
Ecuador;;3.05;;;
Bolivia;;2.98;;;
El Salvador;;2.94;;;
Turkmenistan;;2.88;;;
Haiti;;2.85;;;
Honduras;;2.73;;;
Fiji;;2.71;;;
Gambia, The;;2.67;;;
Sri Lanka;;2.58;;;
Venezuela;;2.51;;;
Uzbekistan;;2.45;;;
Nauru;;2.44;;;
Namibia;;2.38;;;
Samoa;;2.18;;;
Burma;;2.06;;;
Malawi;;2.04;;;
United Arab Emirates;;2.03;;;
Sudan;;1.93;;;
Singapore;;1.81;;;
Cote d'Ivoire;;1.7;;;
Kenya;;1.68;;;
Guatemala;;1.63;;;
Vanuatu;;1.6;;;
Ghana;;1.59;;;
Micronesia, Federated States of;;1.59;;;
Tunisia;;1.51;;;
Mozambique;;1.46;;;
Togo;;1.4;;;
Maldives;;1.38;;;
Azerbaijan;;1.38;;;
Papua New Guinea;;1.26;;;
Benin;;1.25;;;
Solomon Islands;;1.19;;;
Turkey (Turkiye);;1.18;;;
Bahrain;;1.18;;;
Ethiopia;;1.16;;;
Lebanon;;1.14;;;
Qatar;;0.96;;;
Central African Republic;;0.94;;;
Eritrea;;0.93;;;
Tuvalu;;0.93;;;
Madagascar;;0.89;;;
Tajikistan;;0.85;;;
Brunei;;0.69;;;
Malaysia;;0.64;;;
Mali;;0.6;;;
Algeria;;0.59;;;
Congo, Democratic Republic of the;;0.56;;;
Chad;;0.55;;;
Morocco;;0.51;;;
Oman;;0.47;;;
Kiribati;;0.43;;;
Timor-Leste;;0.41;;;
Nepal;;0.36;;;
Guinea;;0.33;;;
Tonga;;0.31;;;
Senegal;;0.25;;;
Jordan;;0.25;;;
Djibouti;;0.21;;;
Comoros;;0.18;;;
Iraq;;0.16;;;
Egypt;;0.14;;;
Syria;;0.13;;;
Niger;;0.11;;;
Indonesia;;0.08;;;
Bhutan;;0.07;;;
Pakistan;;0.04;;;
Iran;;0.02;;;
Yemen;;0.02;;;
Afghanistan;;0.01;;;
Libya;;0.01;;;
Saudi Arabia;;0;;;
Mauritania;;0;;;
Bangladesh;;0;;;
Somalia;;0;;;
Kuwait;;0;;;
