name;;value;;;
Liechtenstein;;$139,100;;;
Monaco;;$115,700;;;
Luxembourg;;$115,700;;;
Singapore;;$106,000;;;
Ireland;;$102,500;;;
Qatar;;$92,900;;;
Isle of Man;;$84,600;;;
Bermuda;;$80,300;;;
Switzerland;;$71,000;;;
Falkland Islands (Islas Malvinas);;$70,800;;;
United Arab Emirates;;$69,700;;;
Cayman Islands;;$67,500;;;
Norway;;$65,700;;;
United States;;$63,700;;;
Gibraltar;;$61,700;;;
Brunei;;$60,100;;;
Denmark;;$58,000;;;
Netherlands;;$56,600;;;
Jersey;;$56,600;;;
San Marino;;$56,400;;;
Hong Kong;;$55,900;;;
Macau;;$55,200;;;
Austria;;$54,100;;;
Sweden;;$53,600;;;
Iceland;;$53,600;;;
Germany;;$53,200;;;
Guernsey;;$52,500;;;
Belgium;;$51,700;;;
Andorra;;$49,900;;;
Australia;;$49,800;;;
Bahrain;;$49,400;;;
Finland;;$48,800;;;
Canada;;$47,900;;;
Saint Pierre and Miquelon;;$46,200;;;
Taiwan;;$45,400;;;
France;;$45,000;;;
United Kingdom;;$45,000;;;
Malta;;$44,700;;;
Saudi Arabia;;$44,300;;;
Korea, South;;$44,200;;;
Kuwait;;$43,900;;;
New Zealand;;$42,900;;;
Italy;;$41,900;;;
Greenland;;$41,800;;;
Cyprus;;$41,700;;;
Japan;;$40,800;;;
Czechia;;$40,700;;;
Slovenia;;$40,000;;;
Faroe Islands;;$40,000;;;
Israel;;$39,400;;;
Lithuania;;$39,300;;;
Aruba;;$38,900;;;
Estonia;;$38,700;;;
Spain;;$37,900;;;
Virgin Islands;;$37,000;;;
Guam;;$35,600;;;
Sint Maarten;;$35,300;;;
Poland;;$34,900;;;
Oman;;$34,300;;;
British Virgin Islands;;$34,200;;;
Montserrat;;$34,000;;;
Portugal;;$33,700;;;
Hungary;;$33,600;;;
Puerto Rico;;$32,600;;;
Latvia;;$32,100;;;
Slovakia;;$31,900;;;
Croatia;;$31,600;;;
Turkey (Turkiye);;$31,500;;;
New Caledonia;;$31,100;;;
Romania;;$30,800;;;
Bahamas, The;;$30,200;;;
Greece;;$29,500;;;
Turks and Caicos Islands;;$29,100;;;
Panama;;$29,000;;;
Seychelles;;$28,800;;;
Russia;;$28,000;;;
Saint Kitts and Nevis;;$26,500;;;
Malaysia;;$26,300;;;
Kazakhstan;;$26,100;;;
Chile;;$25,400;;;
Northern Mariana Islands;;$24,500;;;
Bulgaria;;$24,400;;;
Trinidad and Tobago;;$23,000;;;
Uruguay;;$22,800;;;
Libya;;$22,000;;;
Guyana;;$21,900;;;
Argentina;;$21,500;;;
Costa Rica;;$21,200;;;
Mauritius;;$21,000;;;
Curacao;;$20,800;;;
Montenegro;;$20,600;;;
Belarus;;$19,800;;;
Serbia;;$19,800;;;
Saint Martin;;$19,300;;;
Mexico;;$19,100;;;
Antigua and Barbuda;;$19,100;;;
Maldives;;$18,800;;;
Dominican Republic;;$18,600;;;
Thailand;;$17,100;;;
French Polynesia;;$17,000;;;
Cook Islands;;$16,700;;;
North Macedonia;;$16,500;;;
China;;$16,300;;;
Bosnia and Herzegovina;;$15,700;;;
Georgia;;$15,500;;;
Iran;;$15,000;;;
Turkmenistan;;$15,000;;;
Suriname;;$14,800;;;
Botswana;;$14,800;;;
Equatorial Guinea;;$14,600;;;
Brazil;;$14,600;;;
Colombia;;$14,600;;;
Albania;;$14,500;;;
Azerbaijan;;$14,400;;;
Armenia;;$14,200;;;
Moldova;;$14,000;;;
Barbados;;$13,800;;;
Palau;;$13,800;;;
Gabon;;$13,800;;;
Paraguay;;$13,700;;;
Grenada;;$13,700;;;
Saint Vincent and the Grenadines;;$13,700;;;
Sri Lanka;;$13,400;;;
South Africa;;$13,300;;;
Saint Lucia;;$13,000;;;
Lebanon;;$13,000;;;
Ukraine;;$12,900;;;
Peru;;$12,500;;;
Venezuela;;$12,500;;;
Cuba;;$12,300;;;
Anguilla;;$12,200;;;
Indonesia;;$11,900;;;
Nauru;;$11,900;;;
Kosovo;;$11,900;;;
Mongolia;;$11,700;;;
Egypt;;$11,600;;;
American Samoa;;$11,200;;;
Algeria;;$11,000;;;
Dominica;;$10,900;;;
Bhutan;;$10,900;;;
Ecuador;;$10,700;;;
Vietnam;;$10,600;;;
Tunisia;;$10,400;;;
Fiji;;$10,400;;;
Jamaica;;$9,600;;;
Jordan;;$9,200;;;
Namibia;;$9,100;;;
