name;;value;;;
Syria;;6.39;;;
South Sudan;;4.78;;;
Niger;;3.66;;;
Burundi;;3.59;;;
Equatorial Guinea;;3.36;;;
Angola;;3.34;;;
Benin;;3.31;;;
Uganda;;3.22;;;
Congo, Democratic Republic of the;;3.13;;;
Chad;;3.05;;;
Mali;;2.93;;;
Zambia;;2.86;;;
Tanzania;;2.75;;;
Guinea;;2.75;;;
Cameroon;;2.73;;;
Liberia;;2.71;;;
Mozambique;;2.55;;;
Sudan;;2.55;;;
Guinea-Bissau;;2.54;;;
Nigeria;;2.53;;;
Senegal;;2.52;;;
Somalia;;2.49;;;
Burkina Faso;;2.46;;;
Togo;;2.45;;;
Ethiopia;;2.42;;;
Sierra Leone;;2.41;;;
Venezuela;;2.4;;;
Gabon;;2.39;;;
Congo, Republic of the;;2.33;;;
Papua New Guinea;;2.31;;;
Malawi;;2.28;;;
Afghanistan;;2.26;;;
Gambia, The;;2.23;;;
Madagascar;;2.22;;;
Ghana;;2.19;;;
Cote d'Ivoire;;2.16;;;
Timor-Leste;;2.1;;;
Kenya;;2.09;;;
Gaza Strip;;1.99;;;
Mauritania;;1.96;;;
Zimbabwe;;1.95;;;
Iraq;;1.94;;;
Djibouti;;1.93;;;
Pakistan;;1.91;;;
British Virgin Islands;;1.87;;;
Yemen;;1.83;;;
Turks and Caicos Islands;;1.81;;;
Oman;;1.8;;;
Namibia;;1.8;;;
Cayman Islands;;1.79;;;
Central African Republic;;1.77;;;
Anguilla;;1.77;;;
Solomon Islands;;1.69;;;
Rwanda;;1.68;;;
West Bank;;1.66;;;
Saudi Arabia;;1.65;;;
Belize;;1.61;;;
Egypt;;1.59;;;
Vanuatu;;1.59;;;
Luxembourg;;1.58;;;
Philippines;;1.58;;;
Guatemala;;1.54;;;
Libya;;1.54;;;
Panama;;1.51;;;
Sao Tome and Principe;;1.45;;;
Israel;;1.43;;;
Brunei;;1.43;;;
Botswana;;1.37;;;
Tajikistan;;1.36;;;
Comoros;;1.34;;;
Laos;;1.3;;;
Marshall Islands;;1.3;;;
Algeria;;1.27;;;
Australia;;1.19;;;
Cabo Verde;;1.19;;;
Sint Maarten;;1.19;;;
Haiti;;1.18;;;
New Caledonia;;1.17;;;
Honduras;;1.16;;;
Kuwait;;1.13;;;
Antigua and Barbuda;;1.13;;;
Paraguay;;1.12;;;
Suriname;;1.11;;;
Aruba;;1.11;;;
Christmas Island;;1.11;;;
Ecuador;;1.1;;;
Eritrea;;1.08;;;
New Zealand;;1.06;;;
Bolivia;;1.06;;;
Cambodia;;1.04;;;
Kiribati;;1.02;;;
Malaysia;;1.01;;;
Cyprus;;1;;;
Costa Rica;;0.98;;;
Bhutan;;0.96;;;
Turkmenistan;;0.95;;;
Vietnam;;0.93;;;
Iran;;0.93;;;
Bangladesh;;0.91;;;
Nicaragua;;0.91;;;
Ireland;;0.91;;;
South Africa;;0.91;;;
Singapore;;0.9;;;
Iceland;;0.89;;;
Dominican Republic;;0.88;;;
Morocco;;0.88;;;
Qatar;;0.86;;;
Bahrain;;0.85;;;
Mongolia;;0.83;;;
Kyrgyzstan;;0.82;;;
Tuvalu;;0.81;;;
Uzbekistan;;0.81;;;
Argentina;;0.8;;;
Bahamas, The;;0.8;;;
Norway;;0.79;;;
Jordan;;0.79;;;
Lesotho;;0.76;;;
Indonesia;;0.76;;;
Burma;;0.75;;;
Paracel Islands;;0.75;;;
Nepal;;0.74;;;
Canada;;0.73;;;
Kazakhstan;;0.73;;;
Eswatini;;0.72;;;
Macau;;0.71;;;
Liechtenstein;;0.7;;;
India;;0.7;;;
French Polynesia;;0.7;;;
United States;;0.68;;;
Monaco;;0.66;;;
Samoa;;0.65;;;
Switzerland;;0.64;;;
Lebanon;;0.64;;;
Brazil;;0.64;;;
Turkey (Turkiye);;0.64;;;
Azerbaijan;;0.63;;;
Chile;;0.63;;;
Faroe Islands;;0.63;;;
Tunisia;;0.63;;;
Kosovo;;0.62;;;
Jersey;;0.61;;;
Mexico;;0.61;;;
Seychelles;;0.6;;;
Sri Lanka;;0.59;;;
Saint Kitts and Nevis;;0.59;;;
San Marino;;0.59;;;
Malta;;0.59;;;
United Arab Emirates;;0.58;;;
Belgium;;0.55;;;
Colombia;;0.54;;;
Sweden;;0.51;;;
Peru;;0.5;;;
United Kingdom;;0.49;;;
Isle of Man;;0.48;;;
Montserrat;;0.46;;;
El Salvador;;0.46;;;
Denmark;;0.44;;;
Korea, North;;0.44;;;
Fiji;;0.42;;;
Nauru;;0.42;;;
Palau;;0.39;;;
Netherlands;;0.36;;;
Bermuda;;0.32;;;
France;;0.31;;;
Saint Martin;;0.31;;;
Austria;;0.31;;;
Curacao;;0.3;;;
Grenada;;0.29;;;
Guyana;;0.28;;;
Uruguay;;0.27;;;
Saint Lucia;;0.27;;;
Barbados;;0.24;;;
Wallis and Futuna;;0.23;;;
