name;;value;;;
China;;1,022,000,000;;;
India;;644,000,000;;;
United States;;312,800,000;;;
Brazil;;170,100,000;;;
Indonesia;;167,400,000;;;
Russia;;132,000,000;;;
Nigeria;;115,500,000;;;
Japan;;99,600,000;;;
Mexico;;98,800,000;;;
Egypt;;79,200,000;;;
Germany;;75,530,000;;;
Vietnam;;71,780,000;;;
Iran;;69,520,000;;;
Turkey (Turkiye);;68,850,000;;;
Bangladesh;;66,300,000;;;
United Kingdom;;64,990,000;;;
Thailand;;61,200,000;;;
Philippines;;58,300,000;;;
France;;55,900,000;;;
Korea, South;;50,960,000;;;
Pakistan;;48,300,000;;;
Italy;;44,250,000;;;
Spain;;44,180,000;;;
South Africa;;42,480,000;;;
Argentina;;39,150,000;;;
Colombia;;37,960,000;;;
Saudi Arabia;;36,000,000;;;
Canada;;35,340,000;;;
Malaysia;;32,980,000;;;
Morocco;;32,560,000;;;
Poland;;32,300,000;;;
Algeria;;31,240,000;;;
Uzbekistan;;26,180,000;;;
Australia;;24,960,000;;;
Peru;;24,140,000;;;
Burma;;23,760,000;;;
Venezuela;;22,734,162;;;
Ghana;;22,440,000;;;
Taiwan;;21,600,000;;;
Iraq;;21,560,000;;;
Congo, Democratic Republic of the;;21,102,720;;;
Tanzania;;20,480,000;;;
Ethiopia;;20,400,000;;;
Kazakhstan;;17,290,000;;;
Chile;;17,100,000;;;
Netherlands;;16,560,000;;;
Romania;;15,960,000;;;
Nepal;;15,600,000;;;
Kenya;;15,370,000;;;
Sri Lanka;;14,740,000;;;
Ecuador;;13,680,000;;;
Sudan;;13,248,000;;;
Cameroon;;12,420,000;;;
Cote d'Ivoire;;12,150,000;;;
Angola;;11,550,000;;;
Belgium;;10,920,000;;;
Cambodia;;10,200,000;;;
Senegal;;9,860,000;;;
Tunisia;;9,480,000;;;
United Arab Emirates;;9,400,000;;;
Dominican Republic;;9,350,000;;;
Guatemala;;9,180,000;;;
Czechia;;9,130,000;;;
Jordan;;9,130,000;;;
Sweden;;8,800,000;;;
Hungary;;8,633,000;;;
Azerbaijan;;8,600,000;;;
Syria;;8,492,468;;;
Belarus;;8,352,000;;;
Switzerland;;8,352,000;;;
Austria;;8,277,000;;;
Yemen;;8,229,624;;;
Portugal;;8,200,000;;;
Israel;;8,010,000;;;
Bolivia;;7,920,000;;;
Cuba;;7,810,000;;;
Greece;;7,800,000;;;
Mali;;7,480,000;;;
Afghanistan;;7,020,000;;;
Hong Kong;;6,975,000;;;
Denmark;;5,841,000;;;
Madagascar;;5,800,000;;;
Zimbabwe;;5,600,000;;;
Serbia;;5,589,000;;;
Niger;;5,500,000;;;
Mozambique;;5,440,000;;;
Singapore;;5,369,000;;;
Norway;;5,346,000;;;
Bulgaria;;5,175,000;;;
Paraguay;;5,159,000;;;
Finland;;5,115,000;;;
Kyrgyzstan;;5,070,000;;;
Guinea;;4,900,000;;;
New Zealand;;4,896,000;;;
Lebanon;;4,872,000;;;
Burkina Faso;;4,840,000;;;
Slovakia;;4,806,000;;;
Honduras;;4,800,000;;;
Malawi;;4,800,000;;;
Ireland;;4,750,000;;;
Uganda;;4,600,000;;;
Laos;;4,588,000;;;
Benin;;4,420,000;;;
