name;;value;;;
Monaco;;89.64;;;
Singapore;;86.51;;;
Macau;;85.16;;;
Japan;;85;;;
San Marino;;84.05;;;
Canada;;83.99;;;
Iceland;;83.83;;;
Hong Kong;;83.8;;;
Andorra;;83.61;;;
Israel;;83.54;;;
Switzerland;;83.42;;;
Guernsey;;83.42;;;
Malta;;83.39;;;
Australia;;83.28;;;
Luxembourg;;83.17;;;
Korea, South;;83.17;;;
Jersey;;82.83;;;
Sweden;;82.8;;;
France;;82.79;;;
Italy;;82.79;;;
Spain;;82.78;;;
Liechtenstein;;82.76;;;
Norway;;82.75;;;
New Zealand;;82.74;;;
Austria;;82.48;;;
Anguilla;;82.41;;;
Netherlands;;82.36;;;
Cayman Islands;;82.25;;;
Isle of Man;;82.25;;;
Bermuda;;82.25;;;
Belgium;;82.06;;;
United Kingdom;;82.05;;;
Slovenia;;82.02;;;
Finland;;81.96;;;
Puerto Rico;;81.89;;;
Ireland;;81.87;;;
Denmark;;81.87;;;
Germany;;81.72;;;
Portugal;;81.71;;;
Greece;;81.71;;;
Saint Pierre and Miquelon;;81.62;;;
Faroe Islands;;81.47;;;
Taiwan;;81.38;;;
Turks and Caicos Islands;;81.04;;;
Wallis and Futuna;;80.89;;;
Saint Martin;;80.8;;;
Saint Barthelemy;;80.8;;;
United States;;80.75;;;
Saint Helena, Ascension, and Tristan da Cunha;;80.7;;;
Gibraltar;;80.65;;;
Virgin Islands;;80.49;;;
Bahrain;;80.13;;;
Qatar;;80.03;;;
Chile;;80.02;;;
Czechia;;79.96;;;
Cyprus;;79.96;;;
British Virgin Islands;;79.9;;;
Costa Rica;;79.87;;;
Cuba;;79.87;;;
United Arab Emirates;;79.75;;;
Albania;;79.7;;;
Curacao;;79.65;;;
Sint Maarten;;79.5;;;
Kuwait;;79.35;;;
Saint Lucia;;79.18;;;
New Caledonia;;79.06;;;
Poland;;79;;;
Lebanon;;79;;;
Barbados;;78.79;;;
French Polynesia;;78.66;;;
Uruguay;;78.66;;;
Brunei;;78.61;;;
Paraguay;;78.61;;;
Slovakia;;78.55;;;
Argentina;;78.55;;;
Dominica;;78.45;;;
Panama;;78.44;;;
Algeria;;78.27;;;
Ecuador;;78.25;;;
Aruba;;78.25;;;
Sri Lanka;;78.24;;;
China;;78.23;;;
Bosnia and Herzegovina;;78.22;;;
Estonia;;78.12;;;
Antigua and Barbuda;;78.04;;;
Montenegro;;77.99;;;
Thailand;;77.91;;;
Tonga;;77.78;;;
Guam;;77.74;;;
Georgia;;77.74;;;
Croatia;;77.47;;;
Hungary;;77.44;;;
Libya;;77.42;;;
Cook Islands;;77.39;;;
Saint Kitts and Nevis;;77.33;;;
Maldives;;77.19;;;
Oman;;77.16;;;
North Macedonia;;77.09;;;
Tunisia;;77.07;;;
Solomon Islands;;76.96;;;
Saint Vincent and the Grenadines;;76.93;;;
Saudi Arabia;;76.91;;;
Northern Mariana Islands;;76.83;;;
West Bank;;76.63;;;
Turkey (Turkiye);;76.47;;;
Armenia;;76.4;;;
Malaysia;;76.38;;;
Bahamas, The;;76.38;;;
Seychelles;;76.36;;;
Romania;;76.31;;;
Jordan;;76.26;;;
Trinidad and Tobago;;76.19;;;
Latvia;;76.16;;;
Brazil;;76.1;;;
Belize;;76.08;;;
Jamaica;;76.01;;;
Grenada;;76;;;
Lithuania;;75.95;;;
Montserrat;;75.91;;;
Bulgaria;;75.83;;;
Vietnam;;75.79;;;
Gaza Strip;;75.66;;;
El Salvador;;75.63;;;
American Samoa;;75.58;;;
Uzbekistan;;75.55;;;
Samoa;;75.46;;;
Iran;;75.44;;;
Honduras;;75.43;;;
Vanuatu;;75.4;;;
Mauritius;;75.13;;;
Serbia;;75.08;;;
Nicaragua;;75.05;;;
Bangladesh;;74.96;;;
Marshall Islands;;74.92;;;
Palau;;74.91;;;
Colombia;;74.89;;;
Egypt;;74.72;;;
Micronesia, Federated States of;;74.71;;;
Syria;;74.55;;;
Belarus;;74.54;;;
Fiji;;74.54;;;
Azerbaijan;;74.42;;;
Greenland;;74.25;;;
Venezuela;;74.25;;;
Cabo Verde;;74.02;;;
Morocco;;73.95;;;
Ukraine;;73.72;;;
Mexico;;73.46;;;
Iraq;;73.45;;;
Indonesia;;73.33;;;
Guatemala;;73.18;;;
Bhutan;;73.01;;;
Dominican Republic;;72.84;;;
Kazakhstan;;72.8;;;
Moldova;;72.72;;;
Russia;;72.72;;;
Malawi;;72.71;;;
Nepal;;72.67;;;
Kyrgyzstan;;72.63;;;
Suriname;;72.57;;;
Bolivia;;72.5;;;
Guyana;;72.15;;;
Kosovo;;72.15;;;
Turkmenistan;;72.11;;;
Korea, North;;71.88;;;
Togo;;71.71;;;
Mongolia;;71.65;;;
Cambodia;;71.03;;;
Philippines;;70.48;;;
Tanzania;;70.48;;;
Senegal;;70.25;;;
Burma;;70.21;;;
Timor-Leste;;70.21;;;
Kenya;;70.04;;;
Gabon;;70.03;;;
Pakistan;;69.96;;;
Papua New Guinea;;69.74;;;
Ghana;;69.72;;;
Tajikistan;;69.66;;;
Uganda;;69.32;;;
Peru;;68.94;;;
Tuvalu;;68.69;;;
Laos;;68.59;;;
Ethiopia;;68.59;;;
Madagascar;;68.47;;;
Nauru;;68.25;;;
Kiribati;;68.22;;;
Gambia, The;;67.98;;;
Yemen;;67.83;;;
Burundi;;67.77;;;
India;;67.69;;;
Comoros;;67.5;;;
Sudan;;67.45;;;
Sao Tome and Principe;;67.39;;;
Eritrea;;67.19;;;
Namibia;;67.04;;;
Zambia;;66.6;;;
Haiti;;66.3;;;
Rwanda;;66.21;;;
Botswana;;66.04;;;
Liberia;;65.8;;;
Djibouti;;65.61;;;
South Africa;;65.6;;;
Mauritania;;65.57;;;
Guinea;;64.27;;;
Guinea-Bissau;;64.1;;;
Burkina Faso;;63.82;;;
Equatorial Guinea;;63.8;;;
Zimbabwe;;63.79;;;
Cameroon;;63.74;;;
Mali;;62.81;;;
Cote d'Ivoire;;62.71;;;
Benin;;62.6;;;
Congo, Republic of the;;62.51;;;
Angola;;62.51;;;
Congo, Democratic Republic of the;;62.23;;;
Nigeria;;61.79;;;
Niger;;60.48;;;
Eswatini;;60.22;;;
Lesotho;;59.87;;;
South Sudan;;59.71;;;
Chad;;59.57;;;
Sierra Leone;;59.07;;;
Mozambique;;57.7;;;
Somalia;;56.12;;;
Central African Republic;;55.96;;;
Afghanistan;;54.05;;;
