name;;value;;;
Nauru;;61;;;
Cook Islands;;55.9;;;
Palau;;55.3;;;
Marshall Islands;;52.9;;;
Tuvalu;;51.6;;;
Niue;;50;;;
Tonga;;48.2;;;
Samoa;;47.3;;;
Kiribati;;46;;;
Micronesia, Federated States of;;45.8;;;
Kuwait;;37.9;;;
United States;;36.2;;;
Jordan;;35.5;;;
Saudi Arabia;;35.4;;;
Qatar;;35.1;;;
Libya;;32.5;;;
Turkey (Turkiye);;32.1;;;
Lebanon;;32;;;
Egypt;;32;;;
United Arab Emirates;;31.7;;;
Bahamas, The;;31.6;;;
New Zealand;;30.8;;;
Iraq;;30.4;;;
Fiji;;30.2;;;
Bahrain;;29.8;;;
Canada;;29.4;;;
Australia;;29;;;
Mexico;;28.9;;;
Malta;;28.9;;;
South Africa;;28.3;;;
Argentina;;28.3;;;
Chile;;28;;;
Uruguay;;27.9;;;
Dominica;;27.9;;;
Syria;;27.8;;;
United Kingdom;;27.8;;;
Dominican Republic;;27.6;;;
Algeria;;27.4;;;
Oman;;27;;;
Tunisia;;26.9;;;
Suriname;;26.4;;;
Hungary;;26.4;;;
Lithuania;;26.3;;;
Morocco;;26.1;;;
Israel;;26.1;;;
Czechia;;26;;;
Iran;;25.8;;;
Costa Rica;;25.7;;;
Venezuela;;25.6;;;
Andorra;;25.6;;;
Ireland;;25.3;;;
Vanuatu;;25.2;;;
Bulgaria;;25;;;
Greece;;24.9;;;
Jamaica;;24.7;;;
Cuba;;24.6;;;
El Salvador;;24.6;;;
Belarus;;24.5;;;
Croatia;;24.4;;;
Belize;;24.1;;;
Ukraine;;24.1;;;
Spain;;23.8;;;
Nicaragua;;23.7;;;
Saint Vincent and the Grenadines;;23.7;;;
Latvia;;23.6;;;
Montenegro;;23.3;;;
Norway;;23.1;;;
Poland;;23.1;;;
Barbados;;23.1;;;
Russia;;23.1;;;
Saint Kitts and Nevis;;22.9;;;
Haiti;;22.7;;;
Panama;;22.7;;;
Luxembourg;;22.6;;;
Solomon Islands;;22.5;;;
Romania;;22.5;;;
North Macedonia;;22.4;;;
Colombia;;22.3;;;
Germany;;22.3;;;
Finland;;22.2;;;
Brazil;;22.1;;;
Belgium;;22.1;;;
Iceland;;21.9;;;
Cyprus;;21.8;;;
Georgia;;21.7;;;
Albania;;21.7;;;
France;;21.6;;;
Serbia;;21.5;;;
Honduras;;21.4;;;
Papua New Guinea;;21.3;;;
Grenada;;21.3;;;
Guatemala;;21.2;;;
Estonia;;21.2;;;
Kazakhstan;;21;;;
Portugal;;20.8;;;
Sweden;;20.6;;;
Mongolia;;20.6;;;
Slovakia;;20.5;;;
Netherlands;;20.4;;;
Paraguay;;20.3;;;
Armenia;;20.2;;;
Guyana;;20.2;;;
Bolivia;;20.2;;;
Slovenia;;20.2;;;
Austria;;20.1;;;
Ecuador;;19.9;;;
Azerbaijan;;19.9;;;
Italy;;19.9;;;
Denmark;;19.7;;;
Peru;;19.7;;;
Saint Lucia;;19.7;;;
Switzerland;;19.5;;;
Moldova;;18.9;;;
Botswana;;18.9;;;
Antigua and Barbuda;;18.9;;;
Turkmenistan;;18.6;;;
Trinidad and Tobago;;18.6;;;
Bosnia and Herzegovina;;17.9;;;
Namibia;;17.2;;;
Yemen;;17.1;;;
Lesotho;;16.6;;;
Kyrgyzstan;;16.6;;;
Uzbekistan;;16.6;;;
Eswatini;;16.5;;;
Malaysia;;15.6;;;
Zimbabwe;;15.5;;;
Gabon;;15;;;
Tajikistan;;14.2;;;
Brunei;;14.1;;;
Seychelles;;14;;;
Djibouti;;13.5;;;
Mauritania;;12.7;;;
Sao Tome and Principe;;12.4;;;
Cabo Verde;;11.8;;;
Cameroon;;11.4;;;
Ghana;;10.9;;;
Mauritius;;10.8;;;
Gambia, The;;10.3;;;
Cote d'Ivoire;;10.3;;;
Thailand;;10;;;
Liberia;;9.9;;;
Benin;;9.6;;;
Congo, Republic of the;;9.6;;;
Guinea-Bissau;;9.5;;;
Nigeria;;8.9;;;
Senegal;;8.8;;;
Sierra Leone;;8.7;;;
Pakistan;;8.6;;;
Maldives;;8.6;;;
Mali;;8.6;;;
Togo;;8.4;;;
Tanzania;;8.4;;;
Somalia;;8.3;;;
Angola;;8.2;;;
Zambia;;8.1;;;
Equatorial Guinea;;8;;;
Comoros;;7.8;;;
Guinea;;7.7;;;
Central African Republic;;7.5;;;
Mozambique;;7.2;;;
Kenya;;7.1;;;
Indonesia;;6.9;;;
Korea, North;;6.8;;;
Congo, Democratic Republic of the;;6.7;;;
Sudan;;6.6;;;
South Sudan;;6.6;;;
Philippines;;6.4;;;
Bhutan;;6.4;;;
China;;6.2;;;
Singapore;;6.1;;;
Chad;;6.1;;;
Rwanda;;5.8;;;
Burma;;5.8;;;
Malawi;;5.8;;;
Burkina Faso;;5.6;;;
Niger;;5.5;;;
Afghanistan;;5.5;;;
Burundi;;5.4;;;
Laos;;5.3;;;
Uganda;;5.3;;;
Madagascar;;5.3;;;
Sri Lanka;;5.2;;;
Eritrea;;5;;;
Korea, South;;4.7;;;
Ethiopia;;4.5;;;
Japan;;4.3;;;
Nepal;;4.1;;;
Cambodia;;3.9;;;
India;;3.9;;;
Timor-Leste;;3.8;;;
Bangladesh;;3.6;;;
Vietnam;;2.1;;;
