name;;value;;;
China;;1,413,142,846;;;
India;;1,399,179,585;;;
United States;;339,665,118;;;
Indonesia;;279,476,346;;;
Pakistan;;247,653,551;;;
Nigeria;;230,842,743;;;
Brazil;;218,689,757;;;
Bangladesh;;167,184,465;;;
Russia;;141,698,923;;;
Mexico;;129,875,529;;;
Japan;;123,719,238;;;
Ethiopia;;116,462,712;;;
Philippines;;116,434,200;;;
Congo, Democratic Republic of the;;111,859,928;;;
Egypt;;109,546,720;;;
Vietnam;;104,799,174;;;
Iran;;87,590,873;;;
Germany;;84,220,184;;;
Turkey (Turkiye);;83,593,483;;;
Thailand;;69,794,997;;;
France;;68,521,974;;;
United Kingdom;;68,138,484;;;
Tanzania;;65,642,682;;;
Italy;;61,021,855;;;
South Africa;;58,048,332;;;
Burma;;57,970,293;;;
Kenya;;57,052,004;;;
Korea, South;;51,966,948;;;
Colombia;;49,336,454;;;
Sudan;;49,197,555;;;
Uganda;;47,729,952;;;
Spain;;47,222,613;;;
Argentina;;46,621,847;;;
Algeria;;44,758,398;;;
Ukraine;;43,306,477;;;
Iraq;;41,266,109;;;
Afghanistan;;39,232,003;;;
Canada;;38,516,736;;;
Poland;;37,991,766;;;
Morocco;;37,067,420;;;
Angola;;35,981,281;;;
Saudi Arabia;;35,939,806;;;
Malaysia;;34,219,975;;;
Ghana;;33,846,114;;;
Mozambique;;32,513,805;;;
Peru;;32,440,172;;;
Yemen;;31,565,602;;;
Uzbekistan;;31,360,836;;;
Nepal;;30,899,443;;;
Venezuela;;30,518,260;;;
Cameroon;;30,135,732;;;
Cote d'Ivoire;;29,344,847;;;
Madagascar;;28,812,195;;;
Australia;;26,461,166;;;
Korea, North;;26,072,217;;;
Niger;;25,396,840;;;
Taiwan;;23,588,613;;;
Sri Lanka;;23,326,272;;;
Syria;;22,933,531;;;
Burkina Faso;;22,489,126;;;
Mali;;21,359,722;;;
Malawi;;21,279,597;;;
Zambia;;20,216,029;;;
Kazakhstan;;19,543,464;;;
Chile;;18,549,457;;;
Chad;;18,523,165;;;
Senegal;;18,384,660;;;
Romania;;18,326,327;;;
Guatemala;;17,980,803;;;
Ecuador;;17,483,326;;;
Netherlands;;17,463,930;;;
Cambodia;;16,891,245;;;
Zimbabwe;;15,418,674;;;
Benin;;14,219,908;;;
Guinea;;13,607,249;;;
Rwanda;;13,400,541;;;
Burundi;;13,162,952;;;
Somalia;;12,693,796;;;
Bolivia;;12,186,079;;;
South Sudan;;12,118,379;;;
Tunisia;;11,976,182;;;
Belgium;;11,913,633;;;
Haiti;;11,470,261;;;
Jordan;;11,086,716;;;
Cuba;;10,985,974;;;
Dominican Republic;;10,790,744;;;
Czechia;;10,706,242;;;
Sweden;;10,536,338;;;
Greece;;10,497,595;;;
Azerbaijan;;10,420,515;;;
Portugal;;10,223,150;;;
United Arab Emirates;;9,973,449;;;
Papua New Guinea;;9,819,350;;;
Hungary;;9,670,009;;;
Honduras;;9,571,352;;;
Belarus;;9,383,853;;;
Tajikistan;;9,245,937;;;
Israel;;9,043,387;;;
Austria;;8,940,860;;;
Sierra Leone;;8,908,040;;;
Togo;;8,703,961;;;
Switzerland;;8,563,760;;;
Laos;;7,852,377;;;
Paraguay;;7,439,863;;;
Hong Kong;;7,288,167;;;
Libya;;7,252,573;;;
Bulgaria;;6,827,736;;;
Serbia;;6,693,375;;;
El Salvador;;6,602,370;;;
Nicaragua;;6,359,689;;;
Eritrea;;6,274,796;;;
Kyrgyzstan;;6,122,781;;;
Singapore;;5,975,383;;;
Denmark;;5,946,984;;;
Turkmenistan;;5,690,818;;;
Congo, Republic of the;;5,677,493;;;
Finland;;5,614,571;;;
Norway;;5,597,924;;;
Central African Republic;;5,552,228;;;
Liberia;;5,506,280;;;
Slovakia;;5,425,319;;;
Lebanon;;5,331,203;;;
Ireland;;5,323,991;;;
Costa Rica;;5,256,612;;;
New Zealand;;5,109,702;;;
Georgia;;4,936,390;;;
Panama;;4,404,108;;;
Mauritania;;4,244,878;;;
Croatia;;4,169,239;;;
