name;;value;;;
United States;;293,564.2;;;
China;;150,000;;;
Russia;;85,494;;;
India;;65,554;;;
Canada;;49,422;;;
Germany;;39,379;;;
Australia;;36,064;;;
Brazil;;29,849.9;;;
France;;27,860;;;
Japan;;27,311;;;
Mexico;;23,389;;;
Ukraine;;21,733;;;
South Africa;;20,986;;;
Poland;;19,461;;;
Italy;;18,475;;;
Argentina;;17,866;;;
Kazakhstan;;16,636;;;
United Kingdom;;16,390;;;
Spain;;15,489;;;
Pakistan;;11,881;;;
Turkey (Turkiye);;11,497;;;
Sweden;;10,910;;;
Romania;;10,628;;;
Czechia;;9,548;;;
Iran;;8,483.5;;;
Cuba;;8,367;;;
Indonesia;;8,159;;;
Hungary;;7,687;;;
Korea, North;;7,435;;;
Chile;;7,281.5;;;
Sudan;;7,251;;;
Austria;;6,123;;;
Finland;;5,918;;;
Belarus;;5,528;;;
Saudi Arabia;;5,410;;;
Switzerland;;5,296;;;
Turkmenistan;;5,113;;;
Egypt;;5,085;;;
Burma;;5,031;;;
Mozambique;;4,787;;;
Uzbekistan;;4,642;;;
New Zealand;;4,128;;;
Thailand;;4,127;;;
Tanzania;;4,097;;;
Bulgaria;;4,029;;;
Algeria;;4,020;;;
Congo, Democratic Republic of the;;4,007;;;
Korea, South;;3,979;;;
Bolivia;;3,960;;;
Norway;;3,848;;;
Kenya;;3,819;;;
Nigeria;;3,798;;;
Slovakia;;3,627;;;
Belgium;;3,602;;;
Zimbabwe;;3,427;;;
Serbia;;3,333;;;
Zambia;;3,126;;;
Netherlands;;3,055;;;
Azerbaijan;;2,944.3;;;
Angola;;2,761;;;
Denmark;;2,682;;;
Namibia;;2,628;;;
Croatia;;2,617;;;
Vietnam;;2,600;;;
Portugal;;2,526;;;
Bangladesh;;2,460;;;
Greece;;2,345;;;
Iraq;;2,272;;;
Latvia;;2,216;;;
Tunisia;;2,173;;;
Colombia;;2,141;;;
Morocco;;2,067;;;
Syria;;2,052;;;
Lithuania;;1,911;;;
Peru;;1,854.4;;;
Malaysia;;1,851;;;
Mongolia;;1,815;;;
Ireland;;1,688;;;
Uruguay;;1,673;;;
Taiwan;;1,613.1;;;
Sri Lanka;;1,562;;;
Israel;;1,497;;;
Estonia;;1,441;;;
Georgia;;1,363;;;
Uganda;;1,244;;;
Slovenia;;1,207;;;
Moldova;;1,171;;;
Guinea;;1,086;;;
Cameroon;;987;;;
Ecuador;;965;;;
Bosnia and Herzegovina;;965;;;
Ghana;;947;;;
Senegal;;906;;;
Botswana;;888;;;
Madagascar;;836;;;
Guatemala;;800;;;
Malawi;;767;;;
Mauritania;;728;;;
North Macedonia;;699;;;
Honduras;;699;;;
Armenia;;686;;;
Tajikistan;;680;;;
Cote d'Ivoire;;660;;;
Ethiopia;;659;;;
Gabon;;649;;;
Cambodia;;642;;;
Burkina Faso;;622;;;
Fiji;;597;;;
Mali;;593;;;
Togo;;568;;;
Congo, Republic of the;;510;;;
Jordan;;509;;;
Dominican Republic;;496;;;
Venezuela;;447;;;
Benin;;438;;;
Kosovo;;437;;;
Liberia;;429;;;
Kyrgyzstan;;424;;;
Albania;;424;;;
Laos;;422;;;
Lebanon;;401;;;
Eritrea;;306;;;
Eswatini;;301;;;
Costa Rica;;278;;;
Luxembourg;;271;;;
Montenegro;;250;;;
South Sudan;;248;;;
Djibouti;;97;;;
Panama;;77;;;
Philippines;;77;;;
Isle of Man;;63;;;
Nepal;;59;;;
Saint Kitts and Nevis;;50;;;
Paraguay;;30;;;
Christmas Island;;18;;;
El Salvador;;12.5;;;
Liechtenstein;;9;;;
