name;;value;;;
United States;;6,586,610;;;
India;;6,371,847;;;
China;;5,200,000;;;
Brazil;;2,000,000;;;
Russia;;1,283,387;;;
Japan;;1,218,772;;;
France;;1,053,215;;;
Canada;;1,042,300;;;
Australia;;873,573;;;
Germany;;830,000;;;
South Africa;;750,000;;;
Mexico;;704,884;;;
Spain;;683,175;;;
Sweden;;573,134;;;
Indonesia;;496,607;;;
Italy;;487,700;;;
Finland;;454,000;;;
Poland;;420,000;;;
United Kingdom;;394,428;;;
Bangladesh;;369,105;;;
Argentina;;281,290;;;
Pakistan;;264,175;;;
Iran;;223,485;;;
Saudi Arabia;;221,372;;;
Philippines;;216,387;;;
Colombia;;205,379;;;
Hungary;;203,601;;;
Vietnam;;195,468;;;
Nigeria;;195,000;;;
Thailand;;180,053;;;
Ukraine;;169,694;;;
Kenya;;161,452;;;
Burma;;157,000;;;
Congo, Democratic Republic of the;;152,373;;;
Tanzania;;145,203;;;
Malaysia;;144,403;;;
Netherlands;;139,124;;;
Mali;;139,107;;;
Austria;;137,039;;;
Ethiopia;;120,171;;;
Belgium;;118,414;;;
Greece;;117,000;;;
Sri Lanka;;114,093;;;
Mongolia;;113,200;;;
Algeria;;104,000;;;
Korea, South;;100,428;;;
Ireland;;99,830;;;
Zimbabwe;;97,267;;;
Venezuela;;96,189;;;
Kazakhstan;;96,167;;;
Norway;;94,902;;;
New Zealand;;94,000;;;
Bolivia;;90,568;;;
South Sudan;;90,200;;;
Belarus;;86,600;;;
Uzbekistan;;86,496;;;
Romania;;84,185;;;
Lithuania;;84,166;;;
Portugal;;82,900;;;
Cote d'Ivoire;;81,996;;;
Paraguay;;78,811;;;
Chile;;77,801;;;
Uruguay;;77,732;;;
Cameroon;;77,589;;;
Denmark;;74,558;;;
Switzerland;;71,557;;;
Yemen;;71,300;;;
Latvia;;70,244;;;
Syria;;69,873;;;
Zambia;;67,671;;;
Turkey (Turkiye);;67,333;;;
Ghana;;65,725;;;
Egypt;;65,050;;;
Oman;;60,230;;;
Cuba;;60,000;;;
Iraq;;59,623;;;
Turkmenistan;;58,592;;;
