Country,Happiness Score,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,airports,alcohol,birthRate,deathRate,gdpPerCapita,growthRate,internetUsers,lifeExpectancy,medianAge,migrationRate,obesity,population,railways,roadways,taxRate,youthUnemployment
Finland,7.769,1.587,0.986,0.596,0.153,0.393,148,8.23,10.33,10.37,"$48,800",0.22,"5,115,000",81.96,42.8,2.25,22.2,"5,614,571","5,918","454,000",19.85,18.1
Denmark,7.6,1.573,0.996,0.592,0.252,0.41,80,9.16,11.25,9.55,"$58,000",0.44,"5,841,000",81.87,42.0,2.71,19.7,"5,946,984","2,682","74,558",34.07,10.1
Norway,7.554,1.582,1.028,0.603,0.271,0.341,95,6.05,11.89,7.93,"$65,700",0.79,"5,346,000",82.75,39.5,3.89,23.1,"5,597,924","3,848","94,902",21.09,13.0
Iceland,7.494,1.624,1.026,0.591,0.354,0.118,96,7.72,12.8,6.57,"$53,600",0.89,"370,000",83.83,37.1,2.69,21.9,"360,872",,"12,898",22.33,13.4
Netherlands,7.488,1.522,0.999,0.557,0.322,0.298,29,8.23,10.98,9.27,"$56,600",0.36,"16,560,000",82.36,42.8,1.89,20.4,"17,463,930","3,055","139,124",24.38,9.6
Switzerland,7.48,1.526,1.052,0.572,0.263,0.343,63,9.41,10.3,8.37,"$71,000",0.64,"8,352,000",83.42,42.7,4.5,19.5,"8,563,760","5,296","71,557",9.37,9.1
Sweden,7.343,1.487,1.009,0.574,0.267,0.373,231,7.1,10.76,9.5,"$53,600",0.51,"8,800,000",82.8,41.1,3.79,20.6,"10,536,338","10,910","573,134",26.58,24.5
New Zealand,7.307,1.557,1.026,0.585,0.33,0.38,123,9.17,12.69,6.89,"$42,900",1.06,"4,896,000",82.74,37.2,4.81,30.8,"5,109,702","4,128","94,000",27.5,11.4
Canada,7.278,1.505,1.039,0.584,0.285,0.308,"1,467",8.0,10.11,8.17,"$47,900",0.73,"35,340,000",83.99,41.8,5.37,29.4,"38,516,736","49,422","1,042,300",13.3,14.0
Austria,7.246,1.475,1.016,0.532,0.244,0.226,50,11.9,9.39,9.86,"$54,100",0.31,"8,277,000",82.48,44.5,3.54,20.1,"8,940,860","6,123","137,039",24.19,11.4
Australia,7.228,1.548,1.036,0.557,0.332,0.29,418,9.51,12.23,6.76,"$49,800",1.19,"24,960,000",83.28,37.5,6.39,29.0,"26,461,166","36,064","873,573",22.61,10.8
Costa Rica,7.167,1.441,0.963,0.558,0.144,0.093,161,3.07,14.03,4.97,"$21,200",0.98,"4,316,000",79.87,32.6,0.76,25.7,"5,256,612",278,"5,035",12.32,45.4
Israel,7.139,1.455,1.029,0.371,0.261,0.082,42,3.07,17.3,5.05,"$39,400",1.43,"8,010,000",83.54,30.4,1.99,26.1,"9,043,387","1,497","20,391",21.9,8.8
Luxembourg,7.09,1.479,1.012,0.526,0.194,0.316,2,11.0,11.59,7.17,"$115,700",1.58,"633,600",83.17,39.5,11.39,22.6,"660,924",271,"2,875",25.13,15.2
United Kingdom,7.054,1.538,0.996,0.45,0.348,0.278,460,9.8,10.8,9.12,"$45,000",0.49,"64,990,000",82.05,40.6,3.23,27.8,"68,138,484","16,390","394,428",24.73,13.2
Ireland,7.021,1.553,0.999,0.516,0.298,0.31,40,10.91,12.08,6.74,"$102,500",0.91,"4,750,000",81.87,37.8,3.76,25.3,"5,323,991","1,688","99,830",16.51,17.4
Germany,6.985,1.454,0.987,0.495,0.261,0.265,539,10.56,9.02,11.97,"$53,200",-0.12,"75,530,000",81.72,47.8,1.78,22.3,"84,220,184","39,379","830,000",10.55,7.0
Belgium,6.923,1.504,0.986,0.473,0.16,0.21,41,9.15,10.86,9.57,"$51,700",0.55,"10,920,000",82.06,41.6,4.18,22.1,"11,913,633","3,602","118,414",21.97,19.6
United States,6.892,1.457,0.874,0.454,0.28,0.128,"13,513",8.93,12.21,8.42,"$63,700",0.68,"312,800,000",80.75,38.5,3.01,36.2,"339,665,118","293,564.2","6,586,610",9.86,9.6
Czech Republic,6.852,1.487,0.92,0.457,0.046,0.036,,,,,,,,,,,,,,,,
United Arab Emirates,6.825,1.31,0.825,0.598,0.262,0.182,43,2.03,10.76,1.62,"$69,700",0.58,"9,400,000",79.75,38.4,-3.35,31.7,"9,973,449",,"4,080",0.68,10.7
Malta,6.726,1.52,0.999,0.564,0.375,0.151,1,8.07,9.59,8.61,"$44,700",0.59,"461,100",83.39,42.3,4.96,28.9,"467,138",,"3,096",23.73,9.8
Mexico,6.595,1.323,0.861,0.433,0.074,0.073,"1,714",4.25,13.95,7.07,"$19,100",0.61,"98,800,000",73.46,29.3,-0.77,28.9,"129,875,529","23,389","704,884",14.29,8.1
France,6.592,1.472,1.045,0.436,0.111,0.183,464,11.44,11.56,9.51,"$45,000",0.31,"55,900,000",82.79,41.7,1.06,21.6,"68,521,974","27,860","1,053,215",24.69,20.1
Taiwan,6.446,1.43,0.914,0.351,0.242,0.097,37,,7.33,7.98,"$45,400",0.03,"21,600,000",81.38,42.3,0.96,,"23,588,613","1,613.1","43,206",16.0,
Chile,6.444,1.369,0.92,0.357,0.187,0.056,481,7.8,12.57,6.58,"$25,400",0.63,"17,100,000",80.02,35.5,0.32,28.0,"18,549,457","7,281.5","77,801",16.24,21.4
Guatemala,6.436,1.269,0.746,0.535,0.175,0.078,291,1.63,21.88,4.89,"$8,900",1.54,"9,180,000",73.18,23.2,-1.63,21.2,"17,980,803",800,"17,440",9.97,7.2
Saudi Arabia,6.375,1.357,0.795,0.439,0.08,0.132,214,0.0,13.9,3.45,"$44,300",1.65,"36,000,000",76.91,30.8,6.07,35.4,"35,939,806","5,410","221,372",8.6,28.8
Qatar,6.374,1.313,0.871,0.555,0.22,0.167,6,0.96,9.27,1.42,"$92,900",0.86,"2,700,000",80.03,33.7,0.78,35.1,"2,532,104",,"7,039",26.4,1.1
Spain,6.354,1.484,1.062,0.362,0.153,0.079,135,10.72,7.12,10.11,"$37,900",0.12,"44,180,000",82.78,43.9,4.23,23.8,"47,222,613","15,489","683,175",13.58,36.9
Panama,6.321,1.442,0.91,0.516,0.109,0.054,117,6.54,17.71,5.88,"$29,000",1.51,"2,992,000",78.44,30.1,3.22,22.7,"4,404,108",77,,8.51,30.0
Brazil,6.3,1.439,0.802,0.39,0.099,0.086,"4,093",6.12,13.44,6.9,"$14,600",0.64,"170,100,000",76.1,33.2,-0.19,22.1,"218,689,757","29,849.9","2,000,000",12.96,31.9
Uruguay,6.293,1.465,0.891,0.523,0.127,0.15,133,5.42,12.65,9.12,"$22,800",0.27,"3,060,000",78.66,35.5,-0.88,27.9,"3,416,264","1,673","77,732",18.55,32.9
Singapore,6.262,1.463,1.141,0.556,0.271,0.453,9,1.81,8.94,4.15,"$106,000",0.9,"5,369,000",86.51,35.6,4.18,6.1,"5,975,383",,"3,500",12.89,9.1
El Salvador,6.253,1.242,0.789,0.43,0.093,0.074,68,2.94,17.49,5.92,"$9,100",0.46,"3,969,000",75.63,27.7,-7.01,24.6,"6,602,370",12.5,"9,012",18.66,13.7
Italy,6.223,1.488,1.039,0.231,0.158,0.03,129,7.65,7.0,11.27,"$41,900",-0.11,"44,250,000",82.79,46.5,3.2,19.9,"61,021,855","18,475","487,700",24.77,30.9
Bahrain,6.199,1.368,0.871,0.536,0.255,0.11,4,1.18,12.3,2.83,"$49,400",0.85,"1,500,000",80.13,32.9,-0.99,29.8,"1,553,886",,"4,122",16.6,9.9
